[2026-03-28 17:33:10] 📋 ==================================================
[2026-03-28 17:33:10] 📋 构建开始
[2026-03-28 17:33:10] 📋 ==================================================
[2026-03-28 17:33:10] 📋 日志文件: /workspace/logs/build/build_20260328_173310.log
[2026-03-28 17:33:10] 📋 入口文件: /workspace/scripts/main.lua
[2026-03-28 17:33:10] 📋 脚本目录: /workspace/scripts
[2026-03-28 17:33:10] 📋 工作目录: /workspace
[2026-03-28 17:33:10] 📋 MCP 环境: production
[2026-03-28 17:33:10] 📋 纹理压缩限制: 每次最多 10 张
[2026-03-28 17:33:10] 📋 步骤 1: 验证入口 Lua 文件存在
[2026-03-28 17:33:10] ✅ 入口文件存在
[2026-03-28 17:33:10] 📋 ⏱️  耗时: 0.01s
[2026-03-28 17:33:10] 📋 步骤 2: 验证 Lua 文件包含 Start() 函数
[2026-03-28 17:33:10] ✅ Start() 函数验证通过
[2026-03-28 17:33:10] 📋 ⏱️  耗时: 0.01s
[2026-03-28 17:33:10] 📋 步骤 3: 验证 scripts 目录存在
[2026-03-28 17:33:10] ✅ scripts 目录存在
[2026-03-28 17:33:11] 📋 ⏱️  耗时: 0.02s
[2026-03-28 17:33:11] 📋 步骤 4: 启动 Lua LSP watch 模式
[2026-03-28 17:33:11] 📋 LSP watch 已运行 (PID: 426)
[2026-03-28 17:33:11] ✅ Lua LSP 检查通过: 0 个错误
[2026-03-28 17:33:11] 📋 ⏱️  耗时: 0.02s
[2026-03-28 17:33:11] 📋 步骤 5: 检查并初始化 .project 目录
[2026-03-28 17:33:11] ✅ .project 目录已正确初始化
[2026-03-28 17:33:11] 📋 ⏱️  耗时: 0.02s
[2026-03-28 17:33:11] 📋 步骤 5.6: 检查/更新 multiplayer 配置
[2026-03-28 17:33:11] ✅ 使用本地已有的 multiplayer 配置
[2026-03-28 17:33:11] 📋 ⏱️  耗时: 0.02s
[2026-03-28 17:33:11] 📋 步骤 6: 更新 project.json 的 entry
[2026-03-28 17:33:11] 📋 更新 project.json: /workspace/.project/project.json
[2026-03-28 17:33:11] 📋   设置 entry: main.lua
[2026-03-28 17:33:11] ✅ project.json 更新完成
[2026-03-28 17:33:11] 📋 步骤 6.1: 检查 project_id 一致性
[2026-03-28 17:33:11] ✅ project_id 一致性检查通过: p_kl6c
[2026-03-28 17:33:11] 📋 ⏱️  耗时: 0.04s
[2026-03-28 17:33:11] 📋 步骤 7: 调用 project_builder.py 进行构建
[2026-03-28 17:33:11] 📋 已设置 AssetsCooking 可执行权限: /home/Maker/.sce/build/AssetsCooking
[2026-03-28 17:33:11] 📋 执行脚本: /home/Maker/.sce/build/project_builder.py
[2026-03-28 17:33:11] 📋 参数: --project /workspace --platform all --cooking /home/Maker/.sce/build/AssetsCooking --cooking-limit 10 --no-7z
[2026-03-28 17:33:11] 📋 Python: python3
[2026-03-28 17:33:17] 📋 project_builder.py stdout:
[2026-03-28 17:33:17] 📋   [INFO] 开始构建项目: /workspace [平台: all]
[2026-03-28 17:33:17] 📋   [INFO] [1/15] 初始化构建目录...
[2026-03-28 17:33:17] 📋   [INFO]   完成 (0.01s)
[2026-03-28 17:33:17] 📋   [INFO] [2/15] 加载配置...
[2026-03-28 17:33:17] 📋   [INFO]   解析平台配置: all
[2026-03-28 17:33:17] 📋   [INFO]   项目: p_kl6c v1.0.1
[2026-03-28 17:33:17] 📋   [INFO]   入口: main.lua
[2026-03-28 17:33:17] 📋   [INFO]   输出: /workspace/.project/../dist/1.0.1
[2026-03-28 17:33:17] 📋   [INFO]   构建号: 27
[2026-03-28 17:33:17] 📋   [INFO]   完成 (0.01s)
[2026-03-28 17:33:17] 📋   [INFO] [3/15] 加载远程资源...
[2026-03-28 17:33:17] 📋   [INFO]   加载远端来源: engine (tag: stable)
[2026-03-28 17:33:17] 📋   [INFO]     导入 4 个远端资源: engine
[2026-03-28 17:33:17] 📋   [INFO]   加载远端来源: engine-res (tag: stable)
[2026-03-28 17:33:17] 📋   [INFO]     导入 1226 个远端资源: engine-res
[2026-03-28 17:33:17] 📋   [INFO]   加载远端来源: official-res (tag: stable)
[2026-03-28 17:33:17] 📋   [INFO]     导入 25358 个远端资源: official-res
[2026-03-28 17:33:17] 📋   [INFO]   完成 (1.16s)
[2026-03-28 17:33:17] 📋   [INFO] [4/15] 扫描本地资源...
[2026-03-28 17:33:17] 📋   [INFO]   扫描目录: ../assets (prefix: ../assets)
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: BGM.midi.txt -> C4pZoYwr...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a#0.ogg -> CbQSMfYh...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a#1.ogg -> Asoo8VEZ...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a#2.ogg -> EMFMEQKM...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a#3.ogg -> CmzJyUFW...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a#4.ogg -> DJeLedlM...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a#5.ogg -> C2PJ8bx4...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a#6.ogg -> GKnZeTOJ...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a#7.ogg -> Gj-CgTpK...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a0.ogg -> E-fmiQxM...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a1.ogg -> AjsEGRUA...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a2.ogg -> B2ZEMRou...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a3.ogg -> G2g9uR9g...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a4.ogg -> HLNE4TN-...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a5.ogg -> DxRG6dRv...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a6.ogg -> Akw1GRa8...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: a7.ogg -> Fagnmb1W...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: b0.ogg -> Eku3Ca0S...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: b1.ogg -> FItI8WE7...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: b2.ogg -> AFoo8a2w...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: b3.ogg -> F4pasdPu...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: b4.ogg -> CwIysZAM...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: b5.ogg -> EBp6qfx1...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: b6.ogg -> EPreqfDR...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: b7.ogg -> GFtWgYw-...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: c#1.ogg -> G2nkcXNF...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: c#2.ogg -> EEUgaUQ7...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: c#3.ogg -> HkNYGVh6...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: c#4.ogg -> HbdMiVGz...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: c#5.ogg -> B8feIc73...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: c#6.ogg -> CdXmAXF9...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: c#7.ogg -> HF056bND...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: c1.ogg -> B03R-RfN...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: c2.ogg -> DfyAqeUd...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: c3.ogg -> GeUqaVOp...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: c4.ogg -> FvBqEQxo...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: c5.ogg -> H_07CdSu...
[2026-03-28 17:33:17] 📋   [INFO]   生成 meta: c6.ogg -> GWqZ2T56...
